id,조합상세,사용된 아이템,사용된 챔프,분해된 아이템,조합이름
1,"4 조율자,3 나무정령,2 싸움꾼,2 신성,2 신비술사,1 황제,1 추방자,1 우두머리,1 대장장이,1 닌자","용의 정령,태양불꽃 망토,구원,나무정령 새싹,거인의 결의,마법공학 총검,용의 발톱,푸른 파수꾼,수호 천사,쇼진의 창,쇼진의 창","누누와 윌럼프,이렐리아,쉔,리 신,세트,아지르,오른,요네,질리언","4B.F. 대검,2뒤집개,2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,1곡궁,3음전자 망토,5여신의 눈물",흡수자선지자
2,"7 요술사,3 용의 영혼,3 나무정령,2 흡수자,1 황제","루난의 허리케인,서풍,힘의 성배,정의의 손길,마법공학 총검,수호 천사,보석 건틀릿,워모그의 갑옷,나무정령 새싹,가고일 돌갑옷","브랜드,트위스티드 페이트,룰루,애니,베이가,모르가나,아우렐리온 솔,아지르,스웨인","2B.F. 대검,1뒤집개,3거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,5음전자 망토,2여신의 눈물,2연습용 장갑",요술사
3,"6 학살자,3 용의 영혼,2 선봉대,2 명사수,1 무모한 자,1 닌자","구원,힘의 성배,지크의 전령,침묵의 장막,워모그의 갑옷,모렐로노미콘,얼어붙은 심장,정의의 손길,거인 학살자,루난의 허리케인","트리스타나,제드,브라움,파이크,다리우스,세주아니,올라프,사미라","2B.F. 대검,5거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,2음전자 망토,4여신의 눈물,2연습용 장갑",처형자나무정령
4,"6 용의 영혼,4 선봉대,3 학살자,2 명사수,1 무모한 자,1 대장장이","도적의 장갑,스태틱의 단검,라바돈의 죽음모자,구인수의 격노검,구인수의 격노검,정의의 손길,덤불 조끼,이온 충격기,고속 연사포,용의 정령,최후의 속삭임","트리스타나,브랜드,브라움,세주아니,아트록스,올라프,스웨인,오른,사미라","1뒤집개,6쓸데없이 큰 지팡이,2쇠사슬 조끼,6곡궁,1음전자 망토,2여신의 눈물,4연습용 장갑",결투가
5,"7 대장군,2 암살자,2 싸움꾼,2 귀감,1 황제,1 추방자,1 우두머리","정의의 손길,서풍,태양불꽃 망토,덫 발톱,수은,마법공학 총검,거인의 결의,지크의 전령,힘의 성배","니달리,파이크,바이,자르반 4세,카타리나,트린다미어,세트,아지르,아지르,요네","2B.F. 대검,4거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,3음전자 망토,2여신의 눈물,3연습용 장갑",처형자나무정령
6,"4 용의 영혼,3 학살자,3 요술사,2 선봉대,1 우두머리,1 대장장이","지크의 전령,지크의 전령,얼어붙은 심장,루난의 허리케인,정의의 손길,용의 발톱,라바돈의 죽음모자,요술사의 모자","브랜드,파이크,아우렐리온 솔,세주아니,올라프,스웨인,세트,오른","2B.F. 대검,1뒤집개,2거인의 허리띠,2쓸데없이 큰 지팡이,1쇠사슬 조끼,1곡궁,3음전자 망토,3여신의 눈물,1연습용 장갑",흡수자선지자
7,"6 대장군,3 학살자,3 암살자,2 조율자,2 명사수,2 귀감,1 황제,1 추방자,1 무모한 자","침묵의 장막,루난의 허리케인,즈롯 차원문,마법공학 총검,수은,거인의 결의,도적의 장갑,구인수의 격노검,수은,힘의 성배,대장군의 깃발,라바돈의 죽음모자,피바라기","니달리,자르반 4세,파이크,이렐리아,카타리나,트린다미어,아지르,요네,사미라","2B.F. 대검,1뒤집개,2거인의 허리띠,4쓸데없이 큰 지팡이,2쇠사슬 조끼,4곡궁,5음전자 망토,1여신의 눈물,5연습용 장갑",흡수자신성
8,"9 나무정령,3 요술사,2 싸움꾼,2 귀감,1 대장장이","덫 발톱,즈롯 차원문,마법공학 총검,수호 천사,푸른 파수꾼,수은,나무정령 새싹,라바돈의 죽음모자,피바라기","마오카이,라칸,룰루,누누와 윌럼프,베이가,아우렐리온 솔,자야,오른","3B.F. 대검,1뒤집개,2거인의 허리띠,3쓸데없이 큰 지팡이,1쇠사슬 조끼,1곡궁,3음전자 망토,2여신의 눈물,2연습용 장갑",귀감
9,"5 선지자,2 흡수자,2 조율자,2 암살자,2 신성,2 신비술사,1 닌자","모렐로노미콘,힘의 성배,라바돈의 죽음모자,수호 천사,거인 학살자,루난의 허리케인,푸른 파수꾼,구원","잔나,파이크,이렐리아,모르가나,쉔,탈론,리 신,스웨인","2B.F. 대검,2거인의 허리띠,3쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,2음전자 망토,4여신의 눈물",처형자조율자신성
10,"4 영혼,3 학살자,2 신비술사,2 명사수,1 황제,1 무모한 자,1 닌자","고속 연사포,수은,수호 천사,푸른 파수꾼,지크의 전령,푸른 파수꾼,거인의 결의,워모그의 갑옷,강철의 솔라리 펜던트","다이애나,티모,제드,유미,킨드레드,사미라,아지르,질리언","2B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,1음전자 망토,4여신의 눈물,1연습용 장갑",처형자나무정령
11,"3 학살자,3 용의 영혼,3 광신도,2 신비술사,2 선봉대,1 황제,1 무모한 자,1 닌자","지크의 전령,모렐로노미콘,가고일 돌갑옷,용의 발톱,정의의 손길,죽음의 검,최후의 속삭임,수은","파이크,세주아니,쉔,아트록스,올라프,스웨인,아지르,사미라,질리언","3B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,1쇠사슬 조끼,1곡궁,4음전자 망토,1여신의 눈물,3연습용 장갑",귀감
12,"4 선봉대,3 학살자,3 용의 영혼,2 결투가,1 대장장이","모렐로노미콘,강철의 솔라리 펜던트,지크의 전령,죽음의 검,수호 천사,루난의 허리케인,요우무의 유령검,수은,얼어붙은 심장","브라움,세주아니,아트록스,올라프,트린다미어,리 신,스웨인,오른","4B.F. 대검,1뒤집개,2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,1곡궁,2음전자 망토,1여신의 눈물,2연습용 장갑",선봉학살올라프
13,"6 선봉대,3 학살자,3 용의 영혼,2 결투가,1 대장장이","지크의 전령,모렐로노미콘,구원,태양불꽃 망토,수호자의 흉갑,루난의 허리케인,최후의 속삭임,용의 정령,무한의 대검,거인 학살자,푸른 파수꾼,수호 천사,마법공학 총검","노틸러스,브라움,세주아니,아트록스,올라프,트린다미어,리 신,오른","5B.F. 대검,2뒤집개,4거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,1음전자 망토,3여신의 눈물,2연습용 장갑",영혼시비르
14,"4 선봉대,3 학살자,3 용의 영혼,2 결투가,1 무모한 자,1 대장장이","모렐로노미콘,강철의 솔라리 펜던트,죽음의 검,수호 천사,루난의 허리케인,정의의 손길,최후의 속삭임,구인수의 격노검,덫 발톱","브라움,세주아니,아트록스,올라프,트린다미어,사미라,스웨인,오른","3B.F. 대검,2거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,1음전자 망토,1여신의 눈물,3연습용 장갑",영혼시비르
15,"4 흡수자,4 신성,4 선지자,1 황제","침묵의 장막,침묵의 장막,신성의 검,고속 연사포,무한의 대검,용의 발톱,모렐로노미콘,푸른 파수꾼,무한의 대검,푸른 파수꾼","나서스,블라디미르,이렐리아,탈론,모르가나,리 신,스웨인,아지르","3B.F. 대검,1뒤집개,1거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,2음전자 망토,4여신의 눈물,4연습용 장갑",귀감
16,"4 처형자,4 신성,3 조율자,2 영혼,2 신비술사,2 결투가,1 추방자,1 닌자","워모그의 갑옷,덫 발톱,마법공학 총검,지크의 전령,지크의 전령,침묵의 장막,보석 건틀릿,고속 연사포,용의 발톱,수은,도적의 장갑,워모그의 갑옷,무한의 대검","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,요네,리 신","4B.F. 대검,7거인의 허리띠,2쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,3음전자 망토,7연습용 장갑",영혼시비르
17,"4 신성,3 처형자,3 조율자,3 영혼,3 결투가,2 신비술사,1 추방자,1 닌자","거인 학살자,정의의 손길,수은,결투가의 열정,수은,가고일 돌갑옷,워모그의 갑옷,가고일 돌갑옷","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,리 신,요네","1B.F. 대검,1뒤집개,2거인의 허리띠,2쇠사슬 조끼,2곡궁,4음전자 망토,1여신의 눈물,3연습용 장갑",광신도
