rank,B.F. 대검,거인의 허리띠,곡궁,뒤집개,쇠사슬 조끼,쓸데없이 큰 지팡이,여신의 눈물,연습용 장갑,음전자 망토,조합
4,6,3,3,0,0,0,2,2,3,처형자신성
1,3,1,2,0,5,2,2,4,3,요술사
3,1,4,1,0,1,3,3,2,4,요술사
2,2,5,5,0,2,1,2,2,3,광신도
3,1,5,3,0,2,1,2,2,1,학살자명사수
5,1,1,1,2,2,0,2,2,3,대장군사미라
1,3,2,3,3,4,1,3,1,2,대장군사미라
3,1,2,2,0,2,2,1,1,1,광신도
4,2,3,2,1,1,0,4,1,4,대장군사미라
3,1,0,4,0,2,3,6,2,3,결투가조율자
1,5,2,1,0,3,2,2,3,3,요술사
7,2,2,1,0,4,2,1,1,3,요술사
1,5,3,0,0,4,2,1,1,3,선봉신비우화
6,3,3,2,0,2,1,1,1,3,대장군사미라
1,3,0,4,0,1,2,1,2,4,대장군학살자
3,2,4,4,0,3,1,2,3,1,학살자명사수
3,4,3,0,2,2,1,1,2,3,대장군사미라
2,3,3,3,0,1,0,4,2,2,암살자영혼
1,3,5,2,0,2,2,0,4,7,대장군사미라
7,2,2,1,0,1,2,2,3,1,싸움꾼
1,3,2,1,2,1,3,2,5,1,싸움꾼
2,3,2,2,1,2,4,5,1,1,싸움꾼
1,1,3,2,1,3,2,1,3,2,대장군사미라
3,1,2,2,0,4,2,4,3,1,싸움꾼
3,2,5,0,0,3,4,4,6,0,싸움꾼
2,1,2,2,1,2,4,5,2,1,싸움꾼
5,1,2,3,0,1,2,3,3,2,처형자조율자신성
4,2,2,2,0,1,6,2,3,4,싸움꾼
1,4,2,1,1,4,1,2,3,3,대장군사미라
3,4,4,1,1,1,4,2,1,2,싸움꾼
1,5,5,2,0,4,2,3,0,1,처형자나무정령
2,2,0,3,1,3,1,5,4,1,결투가조율자
3,3,3,1,0,1,1,4,3,5,흡수자선지자
7,1,0,4,0,3,2,1,2,1,대장군학살자
5,2,2,2,1,2,1,0,1,3,대장군사미라
3,2,2,3,0,3,2,3,3,0,싸움꾼
2,4,3,1,1,2,3,2,2,4,대장군사미라
1,2,3,6,0,2,1,3,5,2,처형자신성
2,3,5,3,0,4,2,4,3,2,결투가조율자
1,3,3,0,1,5,3,3,4,2,선봉신비우화
1,4,4,0,0,1,3,3,4,3,흡수자선지자
1,4,2,3,2,1,2,2,5,3,대장군사미라
7,1,1,2,0,2,3,2,2,1,싸움꾼
6,4,1,2,0,2,2,2,3,0,나무정령
1,3,5,1,0,2,5,2,3,3,싸움꾼
1,4,1,3,0,1,1,3,2,3,암살자영혼
1,2,1,1,2,4,1,1,3,2,나무정령
7,1,2,0,1,2,1,1,2,2,대장군사미라
1,3,2,1,1,3,4,2,3,1,싸움꾼
1,6,4,2,0,2,2,0,3,1,처형자나무정령
2,3,2,3,0,1,1,2,6,2,대장군학살자
3,2,5,2,0,2,1,4,4,3,흡수자선지자
