id,rank,B.F. 대검,거인의 허리띠,곡궁,뒤집개,쇠사슬 조끼,쓸데없이 큰 지팡이,여신의 눈물,연습용 장갑,음전자 망토,조합,유사도
1,2,4,2,1,2,3,2,5,0,3,흡수자선지자,68
2,1,2,3,1,1,2,2,2,2,5,요술사,75
3,2,2,5,2,0,2,1,4,2,2,처형자나무정령,75
4,1,0,0,6,1,2,6,2,4,1,결투가,59
5,2,2,4,1,0,2,1,2,3,3,처형자나무정령,83
6,4,2,2,1,1,1,2,3,1,3,흡수자선지자,88
7,2,2,2,4,1,2,4,1,5,5,흡수자신성,62
8,3,3,2,1,1,1,3,2,2,3,귀감,78
9,4,2,2,2,0,1,3,4,0,2,처형자조율자신성,88
10,6,2,3,3,0,3,1,4,1,1,처형자나무정령,78
11,5,3,2,1,0,1,1,1,3,4,귀감,75
12,4,4,2,1,1,3,2,1,2,2,선봉학살올라프,83
13,2,5,4,3,2,3,3,3,2,1,영혼시비르,62
14,2,3,2,3,0,2,3,1,3,1,영혼시비르,83
15,2,3,1,2,1,2,1,4,4,2,귀감,70
16,1,4,7,2,0,1,2,0,7,3,영혼시비르,54
17,4,1,2,2,1,2,0,1,3,4,광신도,75
18,5,2,1,2,0,2,3,2,3,1,처형자나무정령,88
19,6,0,2,3,0,3,2,3,3,2,처형자조율자신성,72
20,4,3,3,2,0,2,3,1,6,0,영혼시비르,70
21,2,4,3,2,1,3,2,2,3,2,선봉학살올라프,73
22,4,1,1,4,0,3,3,2,2,2,흡수자신성,78
23,5,2,1,3,4,2,3,1,4,2,나무정령,64
24,4,4,1,2,2,1,2,0,3,3,나무정령,78
25,6,1,2,1,0,2,2,1,2,3,귀감,86
26,1,2,2,2,1,3,3,7,3,1,처형자나무정령,62
27,3,2,2,4,1,2,5,5,2,1,처형자조율자신성,62
28,1,4,3,2,1,0,2,1,3,2,나무정령,78
29,7,1,1,4,1,4,3,3,1,4,요술사,68
30,1,3,3,2,1,1,2,4,1,1,처형자조율자신성,72
31,1,5,5,2,0,4,2,3,0,1,선봉학살올라프,64
32,2,2,0,3,1,3,1,5,4,1,결투가,65
33,3,3,3,1,0,1,1,3,3,5,귀감,70
34,7,1,0,4,0,3,2,1,2,1,대장군학살자,86
35,5,2,2,2,1,2,1,0,1,3,광신도,86
36,3,2,2,3,0,3,2,3,3,0,처형자나무정령,78
37,2,4,3,1,1,2,3,2,2,4,귀감,68
38,1,2,3,5,0,1,1,3,5,2,처형자신성,73
39,2,3,5,3,0,4,2,4,3,2,영혼시비르,62
40,1,3,3,0,1,5,3,3,4,2,선봉신비우화,67
41,1,1,4,2,5,3,3,2,5,1,처형자나무정령,57
42,4,3,2,1,0,2,2,1,1,4,요술사,88
43,3,3,5,1,0,4,0,2,2,1,선봉학살올라프,72
44,3,4,1,2,0,3,6,2,3,1,선봉학살올라프,68
45,1,3,2,2,1,3,2,1,2,2,선봉학살올라프,83
46,6,2,1,2,0,3,2,0,3,3,요술사,81
47,5,2,1,0,0,2,4,2,3,0,싸움꾼,79
48,7,2,2,1,0,2,3,1,2,3,귀감,81
49,3,5,2,5,0,0,1,0,2,3,처형자신성,78
50,5,2,2,1,1,2,2,4,2,2,귀감,78
51,2,3,3,2,0,1,4,3,4,2,싸움꾼,68
52,4,4,4,2,0,2,1,1,2,2,선봉학살올라프,83
53,1,1,1,5,1,1,2,2,1,4,처형자신성,78
54,2,5,1,3,1,2,0,2,5,1,나무정령,70
55,4,1,2,3,1,2,3,1,1,4,광신도,78
56,7,4,0,0,1,4,1,2,0,2,귀감,71
57,1,3,1,2,1,2,1,1,4,3,나무정령,78
58,5,1,0,2,1,1,2,3,3,3,싸움꾼,81
59,3,4,4,1,0,4,4,1,3,1,선봉신비우화,68
60,2,3,4,4,0,1,4,3,2,3,처형자신성,67
61,1,3,2,2,2,2,2,4,6,1,나무정령,62
62,4,1,4,2,0,3,3,1,6,0,처형자나무정령,65
63,6,1,0,1,1,1,1,2,3,2,결투가,92
64,7,2,3,0,0,2,0,2,4,1,처형자나무정령,93
65,3,2,2,4,2,4,1,0,2,3,광신도,70
66,2,2,4,4,0,2,2,4,3,3,처형자신성,67
67,1,3,1,3,0,2,4,4,2,3,귀감,73
68,1,3,1,1,1,4,2,3,2,3,귀감,80
69,1,3,3,3,1,4,1,1,1,1,영혼시비르,78
70,4,2,2,4,1,1,1,0,2,3,처형자신성,81
71,2,3,2,4,0,4,3,1,3,2,대장군학살자,73
72,2,6,1,1,0,3,3,3,7,2,귀감,57
73,3,2,2,2,0,1,2,1,4,2,처형자나무정령,81
74,1,1,3,5,0,3,2,3,3,2,처형자신성,68
75,4,2,2,3,0,1,4,1,1,2,처형자조율자신성,88
76,2,4,2,6,0,1,1,3,7,2,처형자신성,65
77,3,3,3,0,0,3,1,0,3,5,귀감,67
78,3,2,1,3,0,2,5,2,4,1,싸움꾼,70
79,4,2,3,1,1,3,3,1,3,3,요술사,70
80,4,4,3,4,1,2,2,0,1,1,영혼시비르,83
81,1,1,1,4,1,3,1,3,4,2,결투가,70
82,8,1,2,1,0,3,4,1,0,2,요술사,79
83,2,3,1,7,0,1,2,1,3,8,처형자신성,57
84,5,3,2,2,2,2,2,2,2,1,영혼시비르,78
85,4,2,1,5,1,2,1,2,3,1,결투가,78
86,3,2,3,2,1,3,2,2,2,3,요술사,75
87,4,4,2,1,0,1,1,4,2,3,흡수자선지자,83
88,1,4,2,6,0,2,1,1,2,4,처형자신성,73
89,3,4,2,0,3,2,2,4,2,3,귀감,73
90,4,1,1,3,1,4,1,1,1,3,광신도,81
91,3,1,4,4,0,5,3,1,3,1,선봉신비우화,68
92,2,3,0,4,0,3,1,3,5,3,대장군학살자,73
93,5,1,5,2,0,3,3,1,3,2,처형자나무정령,70
94,1,5,3,3,4,1,3,1,7,3,영혼시비르,50
95,5,3,3,3,0,3,1,2,3,2,처형자나무정령,80
96,4,3,1,2,0,1,3,1,2,3,싸움꾼,81
97,3,1,1,3,2,4,2,2,1,2,요술사,72
98,6,1,3,3,2,1,2,2,1,3,처형자신성,72
99,6,2,1,2,1,1,3,2,1,3,싸움꾼,81
100,3,3,2,0,0,1,3,2,5,2,귀감,72
101,1,3,2,2,2,1,3,1,6,2,나무정령,64
102,4,3,3,2,0,3,2,4,1,0,영혼시비르,72
103,5,1,3,1,1,2,1,4,1,0,처형자나무정령,79
